year,all_party,all_male,all_female,all_pro_female(%),all_pro_male(%),Con_total,Con_male,Con_female,Con_pro_male(%),Con_pro_female(%),Lab_total,Lab_male,Lab_female,Lab_pro_female(%),Lab_pro_male(%),Lib_total,Lib_male,Lib_female,Lib_pro_female(%),Lib_pro_male(%),Other_total,Other_female,Other_male,Other_pro_female(%),Other_pro_male(%)
1918,707,706,1,0.1,99.9,382,382,0,100,0,57,57,0,0,100,163,163,0,0,100,27,1,26,3.7,96.3
1922,615,613,2,0.3,99.7,344,343,1,99.7,0.3,142,142,0,0,100,115,114,1,0.9,99.1,12,0,12,0,100
1923,615,607,8,1.3,98.7,258,255,3,98.8,1.2,191,188,3,1.6,98.4,158,156,2,1.3,98.7,6,0,6,0,100
1924,615,611,4,0.7,99.3,412,409,3,99.3,0.7,151,150,1,0.7,99.3,40,40,0,0,100,12,0,12,0,100
1929,615,601,14,2.3,97.7,260,257,3,98.8,1.2,287,278,9,3.1,96.9,59,58,1,1.7,98.3,7,1,6,14.3,85.7
1931,615,600,15,2.4,97.6,522,509,13,97.5,2.5,52,52,0,0,100,36,35,1,2.8,97.2,3,1,2,33.3,66.7
1935,615,606,9,1.5,98.5,429,423,6,98.6,1.4,154,153,1,0.65,99.35,21,20,1,4.8,95.2,9,1,8,11.1,88.9
1945,640,616,24,3.8,96.2,210,209,1,99.6,0.4,393,372,21,5.3,94.7,12,11,1,8.3,91.7,21,1,20,4.8,95.2
1950,625,604,21,3.4,96.6,298,292,6,98,2,315,301,14,4.4,95.6,9,9,0,0,100,1,1,0,100,0
1951,625,608,17,2.7,97.3,321,315,6,98.2,1.8,295,284,11,3.7,96.3,6,6,0,0,100,0,0,0,0,0
1955,630,606,24,3.8,96.2,345,335,10,97.1,2.9,277,263,14,5,95,6,6,0,0,100,0,0,0,0,0
1959,630,605,25,4,96,365,353,12,96.7,3.3,258,245,13,5,95,6,6,0,0,100,1,0,1,0,100
1964,630,601,29,4.6,95.4,304,290,11,96.4,3.6,317,299,18,5.7,94.3,9,6,0,0,100,0,0,0,0,0
1966,630,604,26,4.1,95.9,253,246,7,97.1,2.9,364,345,19,5.2,94.8,12,12,0,0,100,0,0,0,0,0
1970,630,604,26,4.1,95.9,330,315,15,95.5,4.5,288,278,10,3.8,96.2,6,6,0,0,100,2,1,1,50,50
1974.02 ,635,612,23,3.6,96.3,297,288,9,97,3,301,288,13,4.3,95.7,14,14,0,0,100,11,1,10,9,91
1974.10 ,635,608,27,4.3,95.7,277,270,7,97.5,2.5,319,301,18,5.6,94.4,13,13,0,0,100,14,2,12,14.2,85.8
1979,635,616,19,3,97,339,331,8,97.6,2.4,269,258,11,4,96,11,11,0,0,100,4,0,4,0,100
1983,650,627,23,3.5,96.5,397,384,13,96.7,3.3,209,199,10,4.8,95.2,23,23,0,0,100,4,0,4,0,100
1987,650,609,41,6.3,93.7,376,359,17,95.4,4.6,229,208,21,9.1,90.9,22,20,2,9,91,6,1,5,16.7,83.3
1992,651,591,60,9.2,90.8,336,316,20,94,6,271,234,37,13.7,86.3,20,18,2,10,90,7,1,6,14.3,85.7
1997,659,539,120,18.2,81.8,165,152,13,92,8,418,317,101,24.2,75.8,46,43,3,6.2,93.8,12,3,9,25,75
2001,659,541,118,17.9,82.1,166,152,14,92,8,412,317,95,23,77,52,47,5,9.7,90.3,11,4,7,36.4,63.6
2005,646,518,128,19.8,80.2,198,181,17,91,9,355,257,98,27.6,72.4,62,52,10,16,84,13,3,10,23,77
2010,650,507,143,22,78,306,257,49,84,16,258,177,81,31.4,68.6,57,50,7,12.3,87.7,11,6,5,54.5,45.5
2015,650,459,191,29.4,70.6,330,262,68,79,21,232,133,99,42.7,57.3,8,8,0,0,100,62,24,38,39,61
2017,650,442,208,32,68,317,250,67,79,21,262,144,119,45.4,54.6,12,8,4,33.3,66.7,41,18,23,44,56
2019,650,430,220,33.8,66.2,365,278,87,76,24,202,98,104,51.5,48.5,11,4,7,63.6,36.4,54,22,32,41,59